"","provider_id","hospital_name","city","state","zip_code","hospital_type","hospital_ownership","hospital_overall_rating","patient_experience_national_comparison","address","Latitudes","Longitudes","region"
"74","280009","CHI HEALTH GOOD SAMARITAN","KEARNEY","NE","68848","Acute Care Hospitals","Voluntary non-profit - Church",3,"Same as the national average","P O BOX 1990, 10 EAST 31ST ST
KEARNEY, NE
",40.7076254,-99.0818136,"West North Central"
"75","280013","THE NEBRASKA MEDICAL CENTER","OMAHA","NE","68198","Acute Care Hospitals","Voluntary non-profit - Private",2,"Above the national average","987400 NEBRASKA MEDICAL CENTER
OMAHA, NE
",41.2564109,-95.9771025,"West North Central"
"76","281319","JEFFERSON COMMUNITY HEALTH CENTER","FAIRBURY","NE","68352","Critical Access Hospitals","Voluntary non-profit - Private",3,"Not Available","P O BOX 277, 2200 H ST
FAIRBURY, NE
",40.155788,-97.1749473,"West North Central"
"77","281334","BOONE COUNTY HEALTH CENTER","ALBION","NE","68620","Critical Access Hospitals","Government - Local",4,"Above the national average","P O BOX 151, 723 WEST FAIRVIEW ST
ALBION, NE
",41.6835132,-98.0054172,"West North Central"
"78","281336","YORK GENERAL HOSPITAL","YORK","NE","68467","Critical Access Hospitals","Voluntary non-profit - Private",3,"Above the national average","2222 LINCOLN AVE
YORK, NE
",40.882476,-97.592109,"West North Central"
"79","281338","HOWARD COUNTY MEDICAL CENTER","ST PAUL","NE","68873","Critical Access Hospitals","Voluntary non-profit - Other",3,"Not Available","P O BOX 406, 1113 SHERMAN ST
ST PAUL, NE
",41.2171009,-98.4631365,"West North Central"
"80","281344","CHERRY COUNTY HOSPITAL","VALENTINE","NE","69201","Critical Access Hospitals","Government - Local",3,"Same as the national average","P O BOX 410, 510 NORTH GREEN ST
VALENTINE, NE
",42.8783731,-100.5392673,"West North Central"
"81","281349","PENDER COMMUNITY HOSPITAL","PENDER","NE","68047","Critical Access Hospitals","Government - Hospital District or Authority",4,"Above the national average","P O BOX 100, 100 HOSPITAL DRIVE
PENDER, NE
",42.1055877,-96.7110334,"West North Central"
"82","281352","COMMUNITY MEDICAL CENTER, INC","FALLS CITY","NE","68355","Critical Access Hospitals","Voluntary non-profit - Private",4,"Above the national average","P O BOX 399, 3307 BARADA ST
FALLS CITY, NE
",40.0777122,-95.6079865,"West North Central"
"83","281360","BOX BUTTE GENERAL HOSPITAL","ALLIANCE","NE","69301","Critical Access Hospitals","Government - Local",3,"Same as the national average","P O BOX 810, 2101 BOX BUTTE AVE
ALLIANCE, NE
",42.1165187,-102.8697371,"West North Central"
"84","281361","LEXINGTON REGIONAL HEALTH CENTER","LEXINGTON","NE","68850","Critical Access Hospitals","Government - Hospital District or Authority",3,"Not Available","P O BOX 980, 1201 NORTH ERIE ST
LEXINGTON, NE
",40.7854293,-99.757449,"West North Central"
"85","281363","COMMUNITY HOSPITAL","MCCOOK","NE","69001","Critical Access Hospitals","Voluntary non-profit - Other",4,"Above the national average","P O BOX 1328, 1301 EAST H ST
MCCOOK, NE
",40.205277,-100.6080491,"West North Central"
"86","281364","BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","BEATRICE","NE","68310","Critical Access Hospitals","Voluntary non-profit - Private",4,"Above the national average","P O BOX 278, 4800 HOSPITAL PARKWAY
BEATRICE, NE
",40.3159203,-96.7495458,"West North Central"
"87","290045","ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","HENDERSON","NV","89052","Acute Care Hospitals","Voluntary non-profit - Private",1,"Below the national average","3001 ST ROSE PARKWAY
HENDERSON, NV
",36.0045914,-115.1150534,"Mountain"
"88","291306","CARSON VALLEY MEDICAL CENTER","GARDNERVILLE","NV","89410","Critical Access Hospitals","Voluntary non-profit - Private",3,"Same as the national average","1107 HIGHWAY 395
GARDNERVILLE, NV
",38.919495,-119.7190448,"Mountain"
"89","310009","CLARA MAASS MEDICAL CENTER","BELLEVILLE","NJ","07109","Acute Care Hospitals","Voluntary non-profit - Private",3,"Below the national average","ONE CLARA MAASS DRIVE
BELLEVILLE, NJ
",40.7857505,-74.1764017,"Middle Atlantic"
"90","310010","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","PLAINSBORO","NJ","08536","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","ONE PLAINSBORO ROAD
PLAINSBORO, NJ
",40.3398191,-74.6240079,"Middle Atlantic"
"91","310011","CAPE REGIONAL MEDICAL CENTER INC","CAPE MAY COURT HOUSE","NJ","08210","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","TWO STONE HARBOR BLVD
CAPE MAY COURT HOUSE, NJ
",39.0875376,-74.8168417,"Middle Atlantic"
"92","310038","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL","NEW BRUNSWICK","NJ","08901","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","ONE ROBERT WOOD JOHNSON PLACE
NEW BRUNSWICK, NJ
",40.4953282,-74.4498466,"Middle Atlantic"
"93","310054","HACKENSACK-UMC MOUNTAINSIDE","MONTCLAIR","NJ","07042","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","BAY AND HIGHLAND AVE
MONTCLAIR, NJ
",40.8105891,-74.2046182,"Middle Atlantic"
"94","310110","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON","HAMILTON","NJ","08690","Acute Care Hospitals","Voluntary non-profit - Private",1,"Below the national average","ONE HAMILTON HEALTH PLACE
HAMILTON, NJ
",40.2161213,-74.6720664,"Middle Atlantic"
"95","320059","NORTHERN NAVAJO MEDICAL CENTER","SHIPROCK","NM","87420","Acute Care Hospitals","Government - Federal",2,"Below the national average","US HWY 491 NORTH
SHIPROCK, NM
",36.7844548,-108.6861275,"Mountain"
"96","321309","MIMBRES MEMORIAL HOSPITAL","DEMING","NM","88031","Critical Access Hospitals","Proprietary",2,"Below the national average","900 W ASH
DEMING, NM
",32.2612546,-107.7687535,"Mountain"
"97","330055","NEW YORK-PRESBYTERIAN/QUEENS","FLUSHING","NY","11355","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","56-45 MAIN STREET
FLUSHING, NY
",40.7471206,-73.8251431,"Middle Atlantic"
"98","330058","GENEVA GENERAL HOSPITAL","GENEVA","NY","14456","Acute Care Hospitals","Voluntary non-profit - Private",3,"Below the national average","196 -198 NORTH STREET
GENEVA, NY
",42.876489,-76.9883041,"Middle Atlantic"
"99","330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONEONTA","NY","13820","Acute Care Hospitals","Voluntary non-profit - Other",2,"Same as the national average","ONE NORTON AVENUE
ONEONTA, NY
",42.4579572,-75.0523319,"Middle Atlantic"
"100","330181","GLEN COVE HOSPITAL","GLEN COVE","NY","11542","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","101 ST ANDREWS LANE
GLEN COVE, NY
",40.8707547,-73.6223514,"Middle Atlantic"
"101","330198","SOUTH NASSAU COMMUNITIES HOSPITAL","OCEANSIDE","NY","11572","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","ONE HEALTHY WAY
OCEANSIDE, NY
",40.6512461,-73.6310463,"Middle Atlantic"
"102","330304","WHITE PLAINS HOSPITAL CENTER","WHITE PLAINS","NY","10601","Acute Care Hospitals","Voluntary non-profit - Private",3,"Above the national average","41 EAST POST R0AD
WHITE PLAINS, NY
",41.0260066,-73.769389,"Middle Atlantic"
"103","330385","NORTH CENTRAL BRONX HOSPITAL","BRONX","NY","10467","Acute Care Hospitals","Government - Local",2,"Below the national average","3424 KOSSUTH AVENUE &amp; 210TH STREET
BRONX, NY
",40.8805488,-73.8811176,"Middle Atlantic"
"104","330393","UNIVERSITY HOSPITAL ( STONY BROOK )","STONY BROOK","NY","11794","Acute Care Hospitals","Government - State",2,"Same as the national average","HEALTH SCIENCES CENTER SUNY
STONY BROOK, NY
",40.909791,-73.1161755,"Middle Atlantic"
"105","340127","GRANVILLE HEALTH SYSTEMS","OXFORD","NC","27565","Acute Care Hospitals","Government - Local",3,"Same as the national average","COLLEGE ST BOX 947
OXFORD, NC
",36.3263208,-78.5932275,"South Atlantic"
"106","340132","MARIA PARHAM MEDICAL CENTER","HENDERSON","NC","27536","Acute Care Hospitals","Proprietary",2,"Below the national average","PO BOX 59
HENDERSON, NC
",36.3295905,-78.3991638,"South Atlantic"
"107","340144","DAVIS REGIONAL MEDICAL CENTER","STATESVILLE","NC","28687","Acute Care Hospitals","Proprietary",3,"Below the national average","218 OLD MOCKSBVILLE RD PO BOX 1823
STATESVILLE, NC
",35.818754,-80.828965,"South Atlantic"
"108","341320","ALLEGHANY COUNTY MEMORIAL HOSPITAL","SPARTA","NC","28675","Critical Access Hospitals","Voluntary non-profit - Private",3,"Not Available","617 DOCTORS STREET
SPARTA, NC
",36.5095115,-81.1150447,"South Atlantic"
"109","341323","CHARLES A CANNON JR MEMORIAL HOSPITAL","LINVILLE","NC","28646","Critical Access Hospitals","Voluntary non-profit - Private",3,"Same as the national average","434 HOSPITAL DRIVE
LINVILLE, NC
",36.0604388,-81.8892477,"South Atlantic"
"110","351319","PEMBINA COUNTY MEMORIAL HOSPITAL","CAVALIER","ND","58220","Critical Access Hospitals","Voluntary non-profit - Private",3,"Not Available","BOX 380
CAVALIER, ND
",48.7925824,-97.6187762,"West North Central"
"111","360051","MIAMI VALLEY HOSPITAL","DAYTON","OH","45409","Acute Care Hospitals","Voluntary non-profit - Private",4,"Below the national average","ONE WYOMING STREET
DAYTON, OH
",39.745569,-84.1844696,"East North Central"
"112","360076","ATRIUM MEDICAL CENTER","FRANKLIN","OH","45005","Acute Care Hospitals","Voluntary non-profit - Private",4,"Below the national average","ONE MEDICAL CENTER DRIVE
FRANKLIN, OH
",39.4984493,-84.3138728,"East North Central"
"113","360098","LAKE HEALTH","CONCORD","OH","44077","Acute Care Hospitals","Voluntary non-profit - Private",4,"Same as the national average","7590 AUBURN ROAD
CONCORD, OH
",41.6627956,-81.2465525,"East North Central"
